trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999995000000417}",20,0,-116.70757003012596,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999980000006666}",20,0,-102.77182438011039,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.999995500003375}",35,0,-30.804084519175415,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999920000106667}",20,0,-83.20100518205504,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9999875000260416}",25,0,28.038930613852763,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.999982000054}",30,16,26.631109777842745,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9999755001000415}",20,0,-54.00097447966491,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9999680001706663}",25,0,28.976867326098102,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,9,19.40088900655752,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,1,-19.734975111460297,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.9999395006100392}",35,0,-0.41512910072596676,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,1.882772297387456,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9999155011900349}",25,0,-56.23711598667963,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9999020016006562}",20,2,20.09232874335585,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9998875021093592}",30,0,20.100293571265745,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9998720027306434}",35,18,29.038056590475772,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9998555034800082}",25,0,26.918749836454523,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9998380043739528}",30,0,35.23229113350526,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9998195054299763}",20,0,37.28163517870321,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,23.1823520150052,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,10,17.14330849532957,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9997580097605092}",25,19,10.464993784188016,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.9997355116598361}",25,8,-7.0991601079633995,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.9997120138237345}",25,2,36.01834067270973,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.9996875162757026}",25,0,28.057614866305123,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9996620190402377}",30,11,39.7871515812543,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.9996355221428369}",25,10,24.03633943747853,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.9996080256099974}",30,18,21.31721682139734,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.9995795294692156}",20,0,26.314705053483774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,28.44554804365841,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.999519538478809}",25,18,9.703556637578131,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9994880436891754}",20,3,-27.33968039477779,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.9994555494115813}",20,12,18.124786680125563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.9994220556785212}",25,0,18.178382274110405,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9993875625234886}",30,11,32.48851844133502,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.9993520699809768}",25,8,26.00962569280564,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.9993155780864782}",25,0,28.889223702993178,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9992780868764849}",20,3,24.332398300206506,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
